grid_id,class,percent_Q12024,percent_Q22024,change_pct
45,6,0.0,0.0,0.0
45,7,0.0,0.0,0.0
45,8,0.0,0.0,0.0
46,0,0.0,0.0,0.0
46,1,3.0,0.0,-3.0
46,2,0.0,0.0,0.0
46,3,0.0,0.0,0.0
46,4,0.0,0.0,0.0
46,5,97.0,100.0,3.0
46,6,0.0,0.0,0.0
46,7,0.0,0.0,0.0
46,8,0.0,0.0,0.0
47,0,0.0,0.0,0.0
47,1,70.0,7.000000000000001,-63.0
47,2,0.0,0.0,0.0
47,3,0.0,0.0,0.0
47,4,0.0,0.0,0.0
47,5,30.0,93.0,63.0
47,6,0.0,0.0,0.0
47,7,0.0,0.0,0.0
47,8,0.0,0.0,0.0
48,0,0.0,0.0,0.0
48,1,100.0,100.0,0.0
48,2,0.0,0.0,0.0
48,3,0.0,0.0,0.0
48,4,0.0,0.0,0.0
48,5,0.0,0.0,0.0
48,6,0.0,0.0,0.0
48,7,0.0,0.0,0.0
48,8,0.0,0.0,0.0
49,0,0.0,0.0,0.0
49,1,100.0,100.0,0.0
49,2,0.0,0.0,0.0
49,3,0.0,0.0,0.0
49,4,0.0,0.0,0.0
49,5,0.0,0.0,0.0
49,6,0.0,0.0,0.0
49,7,0.0,0.0,0.0
49,8,0.0,0.0,0.0
50,0,0.0,0.0,0.0
50,1,0.0,0.0,0.0
50,2,0.0,0.0,0.0
50,3,0.0,0.0,0.0
50,4,0.0,0.0,0.0
50,5,0.0,0.0,0.0
50,6,0.0,0.0,0.0
50,7,0.0,0.0,0.0
50,8,0.0,0.0,0.0
51,0,0.0,0.0,0.0
51,1,100.0,0.0,-100.0
51,2,0.0,0.0,0.0
51,3,0.0,0.0,0.0
51,4,0.0,0.0,0.0
51,5,0.0,100.0,100.0
51,6,0.0,0.0,0.0
51,7,0.0,0.0,0.0
51,8,0.0,0.0,0.0
52,0,0.0,0.0,0.0
52,1,100.0,13.88888888888889,-86.11111111111111
52,2,0.0,0.0,0.0
52,3,0.0,0.0,0.0
52,4,0.0,0.0,0.0
52,5,0.0,86.11111111111111,86.11111111111111
52,6,0.0,0.0,0.0
52,7,0.0,0.0,0.0
52,8,0.0,0.0,0.0
53,0,0.0,0.0,0.0
53,1,100.0,100.0,0.0
53,2,0.0,0.0,0.0
53,3,0.0,0.0,0.0
53,4,0.0,0.0,0.0
53,5,0.0,0.0,0.0
53,6,0.0,0.0,0.0
53,7,0.0,0.0,0.0
53,8,0.0,0.0,0.0
54,0,0.0,0.0,0.0
54,1,100.0,100.0,0.0
54,2,0.0,0.0,0.0
54,3,0.0,0.0,0.0
54,4,0.0,0.0,0.0
54,5,0.0,0.0,0.0
54,6,0.0,0.0,0.0
54,7,0.0,0.0,0.0
54,8,0.0,0.0,0.0
55,0,0.0,0.0,0.0
55,1,83.0,61.0,-22.0
55,2,0.0,0.0,0.0
55,3,0.0,0.0,0.0
55,4,0.0,0.0,0.0
55,5,17.0,39.0,22.0
55,6,0.0,0.0,0.0
55,7,0.0,0.0,0.0
55,8,0.0,0.0,0.0
56,0,0.0,0.0,0.0
56,1,3.0,0.0,-3.0
56,2,0.0,0.0,0.0
56,3,0.0,0.0,0.0
56,4,0.0,0.0,0.0
56,5,97.0,100.0,3.0
56,6,0.0,0.0,0.0
56,7,0.0,0.0,0.0
56,8,0.0,0.0,0.0
57,0,0.0,0.0,0.0
57,1,43.0,19.0,-24.0
57,2,0.0,0.0,0.0
57,3,0.0,0.0,0.0
57,4,0.0,0.0,0.0
57,5,56.99999999999999,81.0,24.000000000000007
57,6,0.0,0.0,0.0
57,7,0.0,0.0,0.0
57,8,0.0,0.0,0.0
58,0,0.0,0.0,0.0
58,1,100.0,100.0,0.0
58,2,0.0,0.0,0.0
58,3,0.0,0.0,0.0
58,4,0.0,0.0,0.0
58,5,0.0,0.0,0.0
58,6,0.0,0.0,0.0
58,7,0.0,0.0,0.0
58,8,0.0,0.0,0.0
59,0,0.0,0.0,0.0
59,1,100.0,47.25274725274725,-52.74725274725275
59,2,0.0,0.0,0.0
59,3,0.0,0.0,0.0
59,4,0.0,0.0,0.0
59,5,0.0,52.74725274725275,52.74725274725275
59,6,0.0,0.0,0.0
59,7,0.0,0.0,0.0
59,8,0.0,0.0,0.0
60,0,0.0,0.0,0.0
60,1,100.0,73.97260273972603,-26.027397260273972
60,2,0.0,0.0,0.0
60,3,0.0,0.0,0.0
60,4,0.0,0.0,0.0
60,5,0.0,26.027397260273972,26.027397260273972
60,6,0.0,0.0,0.0
60,7,0.0,0.0,0.0
60,8,0.0,0.0,0.0
61,0,0.0,0.0,0.0
61,1,100.0,100.0,0.0
61,2,0.0,0.0,0.0
61,3,0.0,0.0,0.0
61,4,0.0,0.0,0.0
61,5,0.0,0.0,0.0
61,6,0.0,0.0,0.0
61,7,0.0,0.0,0.0
61,8,0.0,0.0,0.0
62,0,0.0,0.0,0.0
62,1,100.0,87.0,-13.0
62,2,0.0,0.0,0.0
62,3,0.0,0.0,0.0
62,4,0.0,0.0,0.0
62,5,0.0,13.0,13.0
62,6,0.0,0.0,0.0
62,7,0.0,0.0,0.0
62,8,0.0,0.0,0.0
63,0,0.0,0.0,0.0
63,1,100.0,100.0,0.0
63,2,0.0,0.0,0.0
63,3,0.0,0.0,0.0
63,4,0.0,0.0,0.0
63,5,0.0,0.0,0.0
63,6,0.0,0.0,0.0
63,7,0.0,0.0,0.0
63,8,0.0,0.0,0.0
64,0,0.0,0.0,0.0
64,1,100.0,100.0,0.0
64,2,0.0,0.0,0.0
64,3,0.0,0.0,0.0
64,4,0.0,0.0,0.0
64,5,0.0,0.0,0.0
64,6,0.0,0.0,0.0
64,7,0.0,0.0,0.0
64,8,0.0,0.0,0.0
65,0,0.0,0.0,0.0
65,1,100.0,100.0,0.0
65,2,0.0,0.0,0.0
65,3,0.0,0.0,0.0
65,4,0.0,0.0,0.0
65,5,0.0,0.0,0.0
65,6,0.0,0.0,0.0
65,7,0.0,0.0,0.0
65,8,0.0,0.0,0.0
66,0,0.0,0.0,0.0
66,1,94.44444444444444,93.05555555555556,-1.3888888888888857
66,2,0.0,0.0,0.0
66,3,0.0,0.0,0.0
66,4,0.0,0.0,0.0
66,5,5.555555555555555,6.944444444444445,1.3888888888888893
66,6,0.0,0.0,0.0
66,7,0.0,0.0,0.0
66,8,0.0,0.0,0.0
67,0,0.0,0.0,0.0
67,1,72.0,72.0,0.0
67,2,0.0,0.0,0.0
67,3,0.0,0.0,0.0
67,4,0.0,0.0,0.0
67,5,28.000000000000004,28.000000000000004,0.0
67,6,0.0,0.0,0.0
67,7,0.0,0.0,0.0
67,8,0.0,0.0,0.0
68,0,0.0,0.0,0.0
68,1,22.0,15.0,-7.0
68,2,0.0,0.0,0.0
68,3,0.0,0.0,0.0
68,4,0.0,0.0,0.0
68,5,78.0,70.0,-8.0
68,6,0.0,15.0,15.0
68,7,0.0,0.0,0.0
68,8,0.0,0.0,0.0
69,0,0.0,0.0,0.0
69,1,73.0,40.0,-33.0
69,2,0.0,0.0,0.0
69,3,0.0,0.0,0.0
69,4,0.0,0.0,0.0
69,5,27.0,57.99999999999999,30.999999999999993
69,6,0.0,2.0,2.0
69,7,0.0,0.0,0.0
69,8,0.0,0.0,0.0
70,0,0.0,0.0,0.0
70,1,99.0,70.0,-29.0
70,2,0.0,0.0,0.0
70,3,0.0,0.0,0.0
70,4,0.0,0.0,0.0
70,5,1.0,30.0,29.0
70,6,0.0,0.0,0.0
70,7,0.0,0.0,0.0
70,8,0.0,0.0,0.0
71,0,0.0,0.0,0.0
71,1,100.0,100.0,0.0
71,2,0.0,0.0,0.0
71,3,0.0,0.0,0.0
71,4,0.0,0.0,0.0
71,5,0.0,0.0,0.0
71,6,0.0,0.0,0.0
71,7,0.0,0.0,0.0
71,8,0.0,0.0,0.0
72,0,0.0,0.0,0.0
72,1,100.0,75.0,-25.0
72,2,0.0,0.0,0.0
72,3,0.0,0.0,0.0
72,4,0.0,0.0,0.0
72,5,0.0,25.0,25.0
72,6,0.0,0.0,0.0
72,7,0.0,0.0,0.0
72,8,0.0,0.0,0.0
73,0,0.0,0.0,0.0
73,1,82.0,0.0,-82.0
73,2,0.0,0.0,0.0
73,3,0.0,0.0,0.0
73,4,0.0,0.0,0.0
73,5,18.0,100.0,82.0
73,6,0.0,0.0,0.0
73,7,0.0,0.0,0.0
73,8,0.0,0.0,0.0
74,0,0.0,0.0,0.0
74,1,88.0,18.0,-70.0
74,2,0.0,0.0,0.0
74,3,0.0,0.0,0.0
74,4,0.0,0.0,0.0
74,5,12.0,82.0,70.0
74,6,0.0,0.0,0.0
74,7,0.0,0.0,0.0
74,8,0.0,0.0,0.0
75,0,0.0,0.0,0.0
75,1,100.0,100.0,0.0
75,2,0.0,0.0,0.0
75,3,0.0,0.0,0.0
75,4,0.0,0.0,0.0
75,5,0.0,0.0,0.0
75,6,0.0,0.0,0.0
75,7,0.0,0.0,0.0
75,8,0.0,0.0,0.0
76,0,0.0,0.0,0.0
76,1,100.0,100.0,0.0
76,2,0.0,0.0,0.0
76,3,0.0,0.0,0.0
76,4,0.0,0.0,0.0
76,5,0.0,0.0,0.0
76,6,0.0,0.0,0.0
76,7,0.0,0.0,0.0
76,8,0.0,0.0,0.0
77,0,0.0,0.0,0.0
77,1,100.0,100.0,0.0
77,2,0.0,0.0,0.0
77,3,0.0,0.0,0.0
77,4,0.0,0.0,0.0
77,5,0.0,0.0,0.0
77,6,0.0,0.0,0.0
77,7,0.0,0.0,0.0
77,8,0.0,0.0,0.0
78,0,0.0,0.0,0.0
78,1,51.0,47.0,-4.0
78,2,0.0,0.0,0.0
78,3,0.0,0.0,0.0
78,4,0.0,0.0,0.0
78,5,49.0,53.0,4.0
78,6,0.0,0.0,0.0
78,7,0.0,0.0,0.0
78,8,0.0,0.0,0.0
79,0,0.0,0.0,0.0
79,1,12.0,10.0,-2.0
79,2,0.0,0.0,0.0
79,3,0.0,0.0,0.0
79,4,0.0,0.0,0.0
79,5,88.0,90.0,2.0
79,6,0.0,0.0,0.0
79,7,0.0,0.0,0.0
79,8,0.0,0.0,0.0
80,0,0.0,0.0,0.0
80,1,94.0,66.0,-28.0
80,2,0.0,0.0,0.0
80,3,0.0,0.0,0.0
80,4,0.0,0.0,0.0
80,5,6.0,34.0,28.0
80,6,0.0,0.0,0.0
80,7,0.0,0.0,0.0
80,8,0.0,0.0,0.0
81,0,0.0,0.0,0.0
81,1,100.0,100.0,0.0
81,2,0.0,0.0,0.0
81,3,0.0,0.0,0.0
81,4,0.0,0.0,0.0
81,5,0.0,0.0,0.0
81,6,0.0,0.0,0.0
81,7,0.0,0.0,0.0
81,8,0.0,0.0,0.0
82,0,0.0,0.0,0.0
82,1,100.0,80.0,-20.0
82,2,0.0,0.0,0.0
82,3,0.0,0.0,0.0
82,4,0.0,0.0,0.0
82,5,0.0,20.0,20.0
82,6,0.0,0.0,0.0
82,7,0.0,0.0,0.0
82,8,0.0,0.0,0.0
83,0,0.0,0.0,0.0
83,1,100.0,41.0,-59.0
83,2,0.0,0.0,0.0
83,3,0.0,0.0,0.0
83,4,0.0,0.0,0.0
